Task Query,Type,What do we want to check?,Codebase filepath,DB Table,Could be approach,How will it help in answering the task?
Do promotions work differently for Mexican restaurants versus Chinese restaurants? We need to know where to focus.,Heterogeneous Effects,Identify heterogeneous promotional effectiveness across restaurant categories.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/models.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log",Conditional Average Treatment Effect (CATE) estimation by cuisine type,Identifies heterogeneous promotional effectiveness across restaurant categories.
We have thousands of features from user profiles and search history. How do we figure out what actually drives conversions?,Feature Importance,Handle feature selection and causal estimation simultaneously without bias.,"terrarium-ddsh/rerankers-api:shared/feature_engineering.py,terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/search_service:app/search/reranking.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.agent_conversation_log,ts-sim.sim.public.session_log",Double/Debiased Machine Learning for high-dimensional confounders,Handles feature selection and causal estimation simultaneously without bias.
Our API got slower last Tuesday. Did it actually hurt business or are we overreacting?,Causal Impact,Estimate business impact of infrastructure issues using synthetic control.,"terrarium-ddsh/search_service:app/main.py,terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/search_service:app/search/service.py","ts-sim.sim.public.api_call_log,ts-sim.sim.public.llm_performance_log,ts-sim.sim.public.orders,ts-sim.sim.public.session_metrics_log",Bayesian Structural Time-Series for causal impact analysis,Estimates business impact of infrastructure issues using synthetic control.
Does our lunch-time traffic behave differently than dinner traffic when it comes to search?,Temporal Analysis,Identify time-varying effects on search behavior and conversion.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/models.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.impression_log,ts-sim.sim.public.session_log",Heterogeneous Treatment Effect estimation by time of day,Identifies time-varying effects on search behavior and conversion.
Multiple teams claim credit for this quarter's revenue increase. How do we fairly split the credit?,Attribution Modeling,Fairly allocate contribution across multiple concurrent improvements.,"terrarium-ddsh/rerankers-api:training/metrics.py,terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/rerankers-api:training/evaluate.py","ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders,ts-sim.sim.public.session_metrics_log,ts-sim.sim.public.system_runs_log",Attribution-Adjusted Metrics via Shapley Value Decomposition,Fairly allocates contribution across multiple concurrent improvements.
"As delivery radius increases, how does order volume change? Is it linear or more complex?",Dose-Response Analysis,Reveal non-linear dose-response relationship between delivery area and demand.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/search_service:app/db/crud/restaurant.py,terrarium-ddsh/rerankers-api:training/data_proc.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.orders,ts-sim.sim.public.session_log",Continuous treatment effect estimation with flexible functional forms,Reveals non-linear dose-response relationship between delivery area and demand.
Users who click on restaurants don't always order. What's happening in between and how do we fix it?,Funnel Analysis,Identify intermediate factors affecting the click-to-order conversion funnel.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/routers/menu_items.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.impression_log,ts-sim.sim.public.session_log,ts-sim.sim.public.turn_context_log",Mediation analysis to decompose direct and indirect effects,Identifies intermediate factors affecting the click-to-order conversion funnel.
We're rolling out features to different cities at different times. How do we measure the true impact?,Causal Inference,Handle time-varying treatment adoption across geographic units.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/search_service:app/models.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.session_metrics_log,ts-sim.sim.public.session_log,ts-sim.sim.public.system_runs_log",Synthetic Difference-in-Differences for staggered rollouts,Handles time-varying treatment adoption across geographic units.
"Looking at our search logs, what actually causes what? We see patterns but need causal relationships.",Causal Inference,Identify predictive causality between different user behaviors.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/es_utils/elasticsearch_client.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.event_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log",Granger Causality testing on time series data,Identifies predictive causality between different user behaviors.
"Most searches work fine, but some take forever. What's happening with those slow ones?",Performance Diagnostics,Identify and characterize tail latency issues affecting user experience.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/search_service:app/es_utils/elasticsearch_client.py,terrarium-ddsh/rerankers-api:deployment/main.py","ts-sim.sim.public.api_call_log,ts-sim.sim.public.llm_performance_log,ts-sim.sim.public.session_metrics_log",Quantile (p-τ) Metrics focusing on p95/p99 latency,Identifies and characterizes tail latency issues affecting user experience.
"Are we showing fair results to all types of users, or is our algorithm biased?",Fairness Audit,Quantify algorithmic bias and ensure equitable treatment.,"terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/search_service:app/routers/users.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.impression_log,ts-sim.sim.public.recommendations_log","Fairness Diagnostics (ΔDP, ΔEO) across user demographics",Quantifies algorithmic bias and ensures equitable treatment.
Can we give confidence scores with our recommendations instead of just rankings?,Uncertainty Estimation,Provide calibrated confidence intervals for ranking scores.,"terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/search_service:app/search/reranking.py","ts-sim.sim.public.recommendation_items_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_metrics_log",Conformal Prediction Sets for distribution-free uncertainty,Provides calibrated confidence intervals for ranking scores.
Users complain about seeing the same restaurants repeatedly. How do we measure variety?,Diversity Metrics,Quantify result diversity beyond simple deduplication.,"terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:training/metrics.py,terrarium-ddsh/search_service:app/search/candidate_generation.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.impression_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log",Diversity metrics using Determinantal Point Processes,Quantifies result diversity beyond simple deduplication.
Restaurants at the top always have more clicks. How do we factor this out when measuring quality?,Bias Correction,Debias click metrics to reveal true relevance preferences.,"terrarium-ddsh/rerankers-api:training/metrics.py,terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/search_service:app/search/reranking.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.impression_log,ts-sim.sim.public.recommendations_log",Position bias correction using examination hypothesis,Debiases click metrics to reveal true relevance preferences.
Can we predict which users will become loyal customers versus one-time visitors?,Churn Prediction,Model user lifetime and churn probability dynamically.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/db/crud/user.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.session_log,ts-sim.sim.public.user_session_cache",Survival analysis with time-varying covariates,Models user lifetime and churn probability dynamically.
"Should we show more restaurants to users, or focus on showing the best ones?",Trade-off Analysis,Identify optimal trade-off between catalog exposure and relevance.,"terrarium-ddsh/search_service:app/search/candidate_generation.py,terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/search_service:app/search/service.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.impression_log",Pareto frontier analysis of coverage vs accuracy,Identifies optimal trade-off between catalog exposure and relevance.
How much better is personalized search compared to generic search for different users?,Personalization Evaluation,Quantify incremental value of personalization per user segment.,"terrarium-ddsh/rerankers-api:deployment/main.py,terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/search_service:app/search/reranking.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_metrics_log",Personalization lift metrics with counterfactual estimation,Quantifies incremental value of personalization per user segment.
"Popular restaurants do well, but what about the hidden gems? How are we performing there?",Long-Tail Analysis,Separately evaluate algorithm performance on popular vs rare items.,"terrarium-ddsh/rerankers-api:training/evaluate.py,terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:training/metrics.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.impression_log",Long-tail performance analysis with stratified metrics,Separately evaluates algorithm performance on popular vs rare items.
How should we experiment with menu prices without losing too much money in the process?,Experimental Design,Balance exploration and exploitation to minimize revenue loss during testing.,"terrarium-ddsh/search_service:app/routers/menu_items.py,terrarium-ddsh/rerankers-api:training/hpo.py,terrarium-ddsh/search_service:app/db/crud/menu_item.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log",Bayesian Thompson-Sampling for adaptive pricing experiments,Balances exploration and exploitation to minimize revenue loss during testing.
"Delivery fees are tricky - too high and we lose orders, too low and we lose money. What's optimal?",Dynamic Pricing,Learn optimal pricing policy considering both demand and profitability.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/search_service:app/models.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.orders,ts-sim.sim.public.session_log",Reinforcement Learning for dynamic pricing with constraints,Learns optimal pricing policy considering both demand and profitability.
Can we charge different prices to different customer segments without being unfair?,Price Segmentation,Identify fair price segments based on willingness to pay.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/search_service:app/db/crud/user.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders",Causal Forests for price discrimination analysis,Identifies fair price segments based on willingness to pay.
Price sensitivity seems to vary by cuisine type and customer type. Can we quantify this?,Elasticity Analysis,Quantify price sensitivity across customer-cuisine segments.,"terrarium-ddsh/search_service:app/routers/menu_items.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/routers/users.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders",Heterogeneous elasticity estimation using interaction effects,Quantifies price sensitivity across customer-cuisine segments.
How do our restaurant prices compare to competitors in the same area?,Competitive Analysis,Benchmark pricing relative to geographic competitors.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/search_service:app/models.py,terrarium-ddsh/search_service:app/db/crud/restaurant.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state",Competitive pricing intelligence with spatial analysis,Benchmarks pricing relative to geographic competitors.
"Some users will buy regardless of discounts, others only buy with discounts. How do we identify them?",Uplift Modeling,Identify users with high promotional lift vs baseline purchasers.,"terrarium-ddsh/search_service:app/routers/users.py,terrarium-ddsh/rerankers-api:training/train.py,terrarium-ddsh/rerankers-api:training/data_proc.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log,ts-sim.sim.public.user_promo_cache",Uplift modeling for discount sensitivity,Identifies users with high promotional lift vs baseline purchasers.
"When users don't buy item A, what do they buy instead? This affects our pricing strategy.",Substitution Analysis,Reveal substitution patterns crucial for pricing decisions.,"terrarium-ddsh/search_service:app/routers/menu_items.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/search/service.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders,ts-sim.sim.public.recommendation_items_log",Cross-price elasticity matrix estimation,Reveals substitution patterns crucial for pricing decisions.
When is the best time to run promotions - and does it differ by restaurant type?,Temporal Optimization,Identify optimal promotion timing by restaurant characteristics.,"terrarium-ddsh/search_service:app/routers/restaurants.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/models.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.global_restaurant_state,ts-sim.sim.public.orders,ts-sim.sim.public.promotion_log",Causal inference on temporal patterns with heterogeneity,Identifies optimal promotion timing by restaurant characteristics.
Which items are frequently bought together? This could inform our combo deals.,Association Analysis,Discover item associations for bundle creation.,"terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/routers/menu_items.py,terrarium-ddsh/search_service:app/db/crud/menu_item.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.orders",Market basket analysis with lift metrics,Discovers item associations for bundle creation.
What are users really willing to pay for different items? Current prices might not reflect this.,WTP Estimation,Infer true WTP distributions from observed purchase behavior.,"terrarium-ddsh/search_service:app/routers/menu_items.py,terrarium-ddsh/rerankers-api:training/data_proc.py,terrarium-ddsh/search_service:app/search/service.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.impression_log,ts-sim.sim.public.orders",Willingness-to-pay estimation from choice data,Infers true WTP distributions from observed purchase behavior.
New menu items have no history. How do we price them intelligently from day one?,Cold-Start Pricing,Leverage similarity to existing items for intelligent initial pricing.,"terrarium-ddsh/search_service:app/routers/menu_items.py,terrarium-ddsh/rerankers-api:shared/feature_engineering.py,terrarium-ddsh/search_service:app/db/crud/menu_item.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.orders",Multi-Armed Bandits with prior information from similar items,Leverages similarity to existing items for intelligent initial pricing.
"Users search in weird ways - misspellings, slang, etc. How do we understand what they really want?",Query Understanding,Map messy user queries to canonical intents and entities.,"terrarium-ddsh/search_service:app/search/service.py,terrarium-ddsh/search_service:app/search/candidate_generation.py,terrarium-ddsh/rerankers-api:shared/feature_engineering.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.agent_conversation_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.session_log",Query understanding with transformer-based intent classification,Maps messy user queries to canonical intents and entities.
Good Italian food' means different things to different people. How do we capture these nuances?,Semantic Personalization,Learn user-specific interpretations of subjective queries.,"terrarium-ddsh/search_service:app/search/reranking.py,terrarium-ddsh/rerankers-api:shared/feature_engineering.py,terrarium-ddsh/search_service:app/routers/users.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.action_results_log,ts-sim.sim.public.recommendations_log,ts-sim.sim.public.reviews",Personalized semantic embeddings with user context,Learns user-specific interpretations of subjective queries.
"When users search for 'pasta', should we also show 'spaghetti' and 'ravioli' results?",Query Expansion,Automatically expand queries to related terms based on culinary ontology.,"terrarium-ddsh/search_service:app/search/candidate_generation.py,terrarium-ddsh/search_service:app/es_utils/elasticsearch_client.py,terrarium-ddsh/search_service:app/routers/menu_items.py","ts-ddsh.ts_ddsh.public.menu_items,ts-ddsh.ts_ddsh.public.restaurants,ts-ddsh.ts_ddsh.public.users,ts-sim.sim.public.recommendation_items_log",Query expansion using knowledge graphs,Automatically expands queries to related terms based on culinary ontology.
